x,y,i,j,node,start_datetime,end_datetime,flux_m3,screen_top,screen_botm
529955.0,1178285.0,237,352,93730,2007-05-01,2007-05-31,-38.23656,9999.0,9999.0
530955.0,1178285.0,237,353,93731,2007-05-01,2007-05-31,-58.72043000000001,9999.0,9999.0
500955.0,1179285.0,238,323,94095,2007-05-01,2007-05-31,-154.40286,9999.0,9999.0
501955.0,1179285.0,238,324,94096,2007-05-01,2007-05-31,-35.05018,9999.0,9999.0
502955.0,1179285.0,238,325,94097,2007-05-01,2007-05-31,-81.57133,9999.0,9999.0
503955.0,1179285.0,238,326,94098,2007-05-01,2007-05-31,-119.443726,9999.0,9999.0
504955.0,1179285.0,238,327,94099,2007-05-01,2007-05-31,-8.739785000000001,9999.0,9999.0
505955.0,1179285.0,238,328,94100,2007-05-01,2007-05-31,-72.87706,9999.0,9999.0
506955.0,1179285.0,238,329,94101,2007-05-01,2007-05-31,-16.569176000000002,9999.0,9999.0
507955.0,1179285.0,238,330,94102,2007-05-01,2007-05-31,-56.398926,9999.0,9999.0
514955.0,1179285.0,238,337,94109,2007-05-01,2007-05-31,-39.329029999999996,9999.0,9999.0
518955.0,1179285.0,238,341,94113,2007-05-01,2007-05-31,-17.661648,9999.0,9999.0
526955.0,1179285.0,238,349,94121,2007-05-01,2007-05-31,-90.31111,9999.0,9999.0
529955.0,1179285.0,238,352,94124,2007-05-01,2007-05-31,-29.360214000000003,9999.0,9999.0
499955.0,1180285.0,239,322,94488,2007-05-01,2007-05-31,-77.747665,9999.0,9999.0
500955.0,1180285.0,239,323,94489,2007-05-01,2007-05-31,-52.438713,9999.0,9999.0
501955.0,1180285.0,239,324,94490,2007-05-01,2007-05-31,-3.9146953,9999.0,9999.0
502955.0,1180285.0,239,325,94491,2007-05-01,2007-05-31,-12.654481,9999.0,9999.0
503955.0,1180285.0,239,326,94492,2007-05-01,2007-05-31,-20.529388,9999.0,9999.0
504955.0,1180285.0,239,327,94493,2007-05-01,2007-05-31,-33.27491,9999.0,9999.0
505955.0,1180285.0,239,328,94494,2007-05-01,2007-05-31,-46.976345,9999.0,9999.0
506955.0,1180285.0,239,329,94495,2007-05-01,2007-05-31,-29.360214000000003,9999.0,9999.0
507955.0,1180285.0,239,330,94496,2007-05-01,2007-05-31,-77.74767,9999.0,9999.0
508955.0,1180285.0,239,331,94497,2007-05-01,2007-05-31,-171.88243,9999.0,9999.0
